train_species,test_species,n_train,best_val_mcc,best_epoch,n_test,MCC,AUC,Sensitivity,Specificity,Precision,Recall,Accuracy,pi_train,pi_test,Threshold,TN,FP,FN,TP,flipped
musculus,elegans,49132,0.9083,144,16741.0,0.0454,0.5847,0.1776,0.8945,0.0656,0.1776,0.8658,0.5,0.04,0.18,14375.0,1696.0,551.0,119.0,
musculus,melanogaster,49132,0.9083,144,7298.0,0.0317,0.5313,0.0024,0.9999,0.5,0.0024,0.9433,0.5,0.0567,0.9,6883.0,1.0,413.0,1.0,
musculus,musculus,49132,0.9083,144,49132.0,0.9812,0.9968,0.9764,0.9984,0.9946,0.9764,0.9934,0.5,0.2289,0.67,37825.0,60.0,265.0,10982.0,
musculus,maripaludis,49132,0.9083,144,1590.0,0.0747,0.5321,0.8842,0.1735,0.3408,0.8842,0.405,0.5,0.3258,0.05,186.0,886.0,60.0,458.0,
musculus,bacillus,49132,0.9083,144,4173.0,0.0664,0.568,0.1657,0.9053,0.1425,0.1657,0.8411,0.5,0.0867,0.32,3450.0,361.0,302.0,60.0,
musculus,sapiens,49132,0.9083,144,12015.0,0.203,0.6953,0.4301,0.8197,0.2562,0.4301,0.7705,0.5,0.1262,0.21,8606.0,1893.0,864.0,652.0,
musculus,arabidopsis,49132,0.9083,144,690.0,0.0762,0.4966,1.0,0.0072,0.8012,1.0,0.8014,0.5,0.8,0.13,1.0,137.0,0.0,552.0,
musculus,saccharomyces,49132,0.9083,144,4622.0,0.0491,0.5283,0.0813,0.9474,0.2815,0.0813,0.7722,0.5,0.2023,0.75,3493.0,194.0,859.0,76.0,
