train_species,test_species,n_train,best_val_mcc,best_epoch,n_test,MCC,AUC,Sensitivity,Specificity,Precision,Recall,Accuracy,pi_train,pi_test,Threshold,TN,FP,FN,TP,flipped
bacillus,elegans,4173,0.4101,3,16741.0,0.1248,0.6911,0.5791,0.7124,0.0774,0.5791,0.7071,0.5,0.04,0.13,11449.0,4622.0,282.0,388.0,
bacillus,melanogaster,4173,0.4101,3,7298.0,0.0507,0.5249,0.2077,0.8675,0.0862,0.2077,0.8301,0.5,0.0567,0.21,5972.0,912.0,328.0,86.0,
bacillus,musculus,4173,0.4101,3,49132.0,0.093,0.562,0.4715,0.6363,0.2779,0.4715,0.5986,0.5,0.2289,0.47,24108.0,13777.0,5944.0,5303.0,
bacillus,maripaludis,4173,0.4101,3,1590.0,0.1565,0.602,0.6892,0.4757,0.3885,0.6892,0.5453,0.5,0.3258,0.57,510.0,562.0,161.0,357.0,
bacillus,bacillus,4173,0.4101,3,4173.0,0.3801,0.7764,0.2873,0.9819,0.6012,0.2873,0.9216,0.5,0.0867,0.43,3742.0,69.0,258.0,104.0,
bacillus,sapiens,4173,0.4101,3,12015.0,0.1309,0.6265,0.6517,0.5453,0.1715,0.6517,0.5587,0.5,0.1262,0.28,5725.0,4774.0,528.0,988.0,
bacillus,arabidopsis,4173,0.4101,3,690.0,0.1188,0.5669,0.5254,0.6232,0.848,0.5254,0.5449,0.5,0.8,0.08,86.0,52.0,262.0,290.0,
bacillus,saccharomyces,4173,0.4101,3,4622.0,0.0782,0.5621,0.1198,0.9325,0.3102,0.1198,0.7681,0.5,0.2023,0.56,3438.0,249.0,823.0,112.0,
