train_species,test_species,n_train,best_val_mcc,best_epoch,n_test,MCC,AUC,Sensitivity,Specificity,Precision,Recall,Accuracy,pi_train,pi_test,Threshold,TN,FP,FN,TP,flipped
arabidopsis,elegans,690,0.7676,34,16741.0,0.0303,0.5239,0.9627,0.0785,0.0417,0.9627,0.1139,0.5,0.04,0.94,1262.0,14809.0,25.0,645.0,
arabidopsis,melanogaster,690,0.7676,34,7298.0,0.0351,0.5407,0.7802,0.2882,0.0618,0.7802,0.3161,0.5,0.0567,0.93,1984.0,4900.0,91.0,323.0,
arabidopsis,musculus,690,0.7676,34,49132.0,0.049,0.5283,0.287,0.7634,0.2648,0.287,0.6543,0.5,0.2289,0.28,28921.0,8964.0,8019.0,3228.0,
arabidopsis,maripaludis,690,0.7676,34,1590.0,0.101,0.5451,0.722,0.3806,0.3603,0.722,0.4918,0.5,0.3258,0.64,408.0,664.0,144.0,374.0,
arabidopsis,bacillus,690,0.7676,34,4173.0,0.0469,0.5248,0.884,0.1792,0.0928,0.884,0.2404,0.5,0.0867,0.88,683.0,3128.0,42.0,320.0,
arabidopsis,sapiens,690,0.7676,34,12015.0,0.0533,0.5422,0.3852,0.6896,0.152,0.3852,0.6512,0.5,0.1262,0.15,7240.0,3259.0,932.0,584.0,
arabidopsis,arabidopsis,690,0.7676,34,690.0,0.8585,0.9727,0.9746,0.8768,0.9694,0.9746,0.9551,0.5,0.8,0.46,121.0,17.0,14.0,538.0,
arabidopsis,saccharomyces,690,0.7676,34,4622.0,0.0193,0.4999,0.9989,0.0038,0.2027,0.9989,0.2051,0.5,0.2023,0.7,14.0,3673.0,1.0,934.0,
