train_species,test_species,n_train,best_val_mcc,best_epoch,n_test,MCC,AUC,Sensitivity,Specificity,Precision,Recall,Accuracy,pi_train,pi_test,Threshold,TN,FP,FN,TP,flipped
saccharomyces,elegans,4622,0.2483,13,16741.0,0.0421,0.5455,0.1582,0.9054,0.0652,0.1582,0.8755,0.5,0.04,0.14,14550.0,1521.0,564.0,106.0,
saccharomyces,melanogaster,4622,0.2483,13,7298.0,0.0927,0.6238,0.4662,0.7164,0.09,0.4662,0.7022,0.5,0.0567,0.14,4932.0,1952.0,221.0,193.0,
saccharomyces,musculus,4622,0.2483,13,49132.0,0.0762,0.5555,0.3971,0.6882,0.2744,0.3971,0.6216,0.5,0.2289,0.45,26074.0,11811.0,6781.0,4466.0,
saccharomyces,maripaludis,4622,0.2483,13,1590.0,0.0772,0.532,0.7664,0.3078,0.3486,0.7664,0.4572,0.5,0.3258,0.46,330.0,742.0,121.0,397.0,
saccharomyces,bacillus,4622,0.2483,13,4173.0,0.041,0.5269,0.7928,0.2716,0.0937,0.7928,0.3168,0.5,0.0867,0.14,1035.0,2776.0,75.0,287.0,
saccharomyces,sapiens,4622,0.2483,13,12015.0,0.2,0.6942,0.4057,0.8337,0.2605,0.4057,0.7797,0.5,0.1262,0.33,8753.0,1746.0,901.0,615.0,
saccharomyces,arabidopsis,4622,0.2483,13,690.0,0.1027,0.5156,0.9475,0.1159,0.8109,0.9475,0.7812,0.5,0.8,0.06,16.0,122.0,29.0,523.0,
saccharomyces,saccharomyces,4622,0.2483,13,4622.0,0.3575,0.7815,0.7166,0.7139,0.3884,0.7166,0.7144,0.5,0.2023,0.39,2632.0,1055.0,265.0,670.0,
