train_species,test_species,n_train,best_val_mcc,best_epoch,n_test,MCC,AUC,Sensitivity,Specificity,Precision,Recall,Accuracy,pi_train,pi_test,Threshold,TN,FP,FN,TP,flipped
maripaludis,elegans,1590,0.3309,13,16741.0,0.1487,0.7333,0.6687,0.6873,0.0818,0.6687,0.6865,0.5,0.04,0.07,11045.0,5026.0,222.0,448.0,
maripaludis,melanogaster,1590,0.3309,13,7298.0,0.1586,0.6958,0.5435,0.7573,0.1187,0.5435,0.7451,0.5,0.0567,0.11,5213.0,1671.0,189.0,225.0,
maripaludis,musculus,1590,0.3309,13,49132.0,0.0755,0.5514,0.9164,0.1441,0.2412,0.9164,0.3209,0.5,0.2289,0.24,5458.0,32427.0,940.0,10307.0,
maripaludis,maripaludis,1590,0.3309,13,1590.0,0.4117,0.7769,0.4459,0.9095,0.7043,0.4459,0.7585,0.5,0.3258,0.52,975.0,97.0,287.0,231.0,
maripaludis,bacillus,1590,0.3309,13,4173.0,0.0912,0.6013,0.4751,0.6778,0.1229,0.4751,0.6602,0.5,0.0867,0.15,2583.0,1228.0,190.0,172.0,
maripaludis,sapiens,1590,0.3309,13,12015.0,0.0909,0.5763,0.9861,0.0872,0.135,0.9861,0.2007,0.5,0.1262,0.13,916.0,9583.0,21.0,1495.0,
maripaludis,arabidopsis,1590,0.3309,13,690.0,0.1301,0.5834,0.8315,0.2971,0.8255,0.8315,0.7246,0.5,0.8,0.11,41.0,97.0,93.0,459.0,
maripaludis,saccharomyces,1590,0.3309,13,4622.0,0.0705,0.5503,0.9187,0.14,0.2132,0.9187,0.2975,0.5,0.2023,0.21,516.0,3171.0,76.0,859.0,
