train_species,test_species,n_train,best_val_mcc,best_epoch,n_test,MCC,AUC,Sensitivity,Specificity,Precision,Recall,Accuracy,pi_train,pi_test,Threshold,TN,FP,FN,TP,flipped
elegans,elegans,16741,0.3579,40,16741.0,0.7749,0.9662,0.8015,0.9899,0.7671,0.8015,0.9823,0.5,0.04,0.53,15908.0,163.0,133.0,537.0,
elegans,melanogaster,16741,0.3579,40,7298.0,0.0594,0.6385,0.1039,0.9525,0.1162,0.1039,0.9044,0.5,0.0567,0.09,6557.0,327.0,371.0,43.0,
elegans,musculus,16741,0.3579,40,49132.0,0.044,0.5302,0.042,0.9755,0.3369,0.042,0.7618,0.5,0.2289,0.46,36956.0,929.0,10775.0,472.0,
elegans,maripaludis,16741,0.3579,40,1590.0,0.1051,0.6043,0.1332,0.931,0.4825,0.1332,0.6711,0.5,0.3258,0.06,998.0,74.0,449.0,69.0,
elegans,bacillus,16741,0.3579,40,4173.0,0.0794,0.5934,0.1022,0.9578,0.1869,0.1022,0.8835,0.5,0.0867,0.21,3650.0,161.0,325.0,37.0,
elegans,sapiens,16741,0.3579,40,12015.0,0.0318,0.5659,0.0778,0.9446,0.1686,0.0778,0.8352,0.5,0.1262,0.05,9917.0,582.0,1398.0,118.0,
elegans,arabidopsis,16741,0.3579,40,690.0,0.0546,0.5065,0.9783,0.0435,0.8036,0.9783,0.7913,0.5,0.8,0.05,6.0,132.0,12.0,540.0,
elegans,saccharomyces,16741,0.3579,40,4622.0,0.0507,0.5503,0.0374,0.9813,0.3365,0.0374,0.7904,0.5,0.2023,0.62,3618.0,69.0,900.0,35.0,
