train_species,test_species,n_train,best_val_mcc,best_epoch,n_test,MCC,AUC,Sensitivity,Specificity,Precision,Recall,Accuracy,pi_train,pi_test,Threshold,TN,FP,FN,TP,flipped
melanogaster,elegans,7298,0.267,59,16741.0,0.1766,0.7307,0.2418,0.9568,0.189,0.2418,0.9281,0.5,0.04,0.07,15376.0,695.0,508.0,162.0,
melanogaster,melanogaster,7298,0.267,59,7298.0,0.8045,0.9401,0.7923,0.9908,0.8389,0.7923,0.9796,0.5,0.0567,0.49,6821.0,63.0,86.0,328.0,
melanogaster,musculus,7298,0.267,59,49132.0,0.0836,0.5678,0.2358,0.8401,0.3045,0.2358,0.7018,0.5,0.2289,0.05,31829.0,6056.0,8595.0,2652.0,
melanogaster,maripaludis,7298,0.267,59,1590.0,0.2224,0.6275,0.2336,0.9244,0.599,0.2336,0.6994,0.5,0.3258,0.11,991.0,81.0,397.0,121.0,
melanogaster,bacillus,7298,0.267,59,4173.0,0.1268,0.5958,0.0608,0.9911,0.3929,0.0608,0.9104,0.5,0.0867,0.62,3777.0,34.0,340.0,22.0,
melanogaster,sapiens,7298,0.267,59,12015.0,0.0789,0.6099,0.1478,0.9198,0.2101,0.1478,0.8224,0.5,0.1262,0.05,9657.0,842.0,1292.0,224.0,
melanogaster,arabidopsis,7298,0.267,59,690.0,0.087,0.521,0.1268,0.942,0.8974,0.1268,0.2899,0.5,0.8,0.88,130.0,8.0,482.0,70.0,
melanogaster,saccharomyces,7298,0.267,59,4622.0,0.0516,0.5667,0.1722,0.872,0.2543,0.1722,0.7304,0.5,0.2023,0.05,3215.0,472.0,774.0,161.0,
