train_species,test_species,n_train,best_val_mcc,best_epoch,n_test,MCC,AUC,Sensitivity,Specificity,Precision,Recall,Accuracy,pi_train,pi_test,Threshold,TN,FP,FN,TP,flipped
sapiens,elegans,12015,0.362,11,16741.0,0.1341,0.7259,0.7284,0.6076,0.0718,0.7284,0.6124,0.5,0.04,0.11,9765.0,6306.0,182.0,488.0,
sapiens,melanogaster,12015,0.362,11,7298.0,0.1189,0.6116,0.07,0.9897,0.29,0.07,0.9375,0.5,0.0567,0.26,6813.0,71.0,385.0,29.0,
sapiens,musculus,12015,0.362,11,49132.0,0.1456,0.6204,0.405,0.7514,0.3259,0.405,0.6721,0.5,0.2289,0.51,28465.0,9420.0,6692.0,4555.0,
sapiens,maripaludis,12015,0.362,11,1590.0,0.1903,0.6345,0.5347,0.6642,0.4349,0.5347,0.622,0.5,0.3258,0.59,712.0,360.0,241.0,277.0,
sapiens,bacillus,12015,0.362,11,4173.0,0.1008,0.6198,0.5497,0.625,0.1222,0.5497,0.6185,0.5,0.0867,0.22,2382.0,1429.0,163.0,199.0,
sapiens,sapiens,12015,0.362,11,12015.0,0.3933,0.8592,0.7441,0.7875,0.3358,0.7441,0.782,0.5,0.1262,0.34,8268.0,2231.0,388.0,1128.0,
sapiens,arabidopsis,12015,0.362,11,690.0,0.107,0.5177,0.9348,0.1377,0.8126,0.9348,0.7754,0.5,0.8,0.05,19.0,119.0,36.0,516.0,
sapiens,saccharomyces,12015,0.362,11,4622.0,0.1086,0.5853,0.4578,0.6715,0.2611,0.4578,0.6283,0.5,0.2023,0.43,2476.0,1211.0,507.0,428.0,
